participant,item,correct,Test_Time,Interval
10,20,0,AM,Delay
11,1,0,AM,Delay
11,2,1,AM,Delay
11,3,1,AM,Delay
11,4,0,AM,Delay
11,5,1,AM,Delay
11,6,1,AM,Delay
11,7,0,AM,Delay
11,8,1,AM,Delay
11,9,1,AM,Delay
11,10,0,AM,Delay
11,11,1,AM,Delay
11,12,1,AM,Delay
11,13,1,AM,Delay
11,14,1,AM,Delay
11,15,1,AM,Delay
11,16,1,AM,Delay
11,17,0,AM,Delay
11,18,1,AM,Delay
11,19,1,AM,Delay
11,20,1,AM,Delay
12,1,0,AM,Delay
12,2,0,AM,Delay
12,3,1,AM,Delay
12,4,0,AM,Delay
12,5,1,AM,Delay
12,6,0,AM,Delay
12,7,0,AM,Delay
12,8,1,AM,Delay
12,9,1,AM,Delay
12,10,1,AM,Delay
12,11,1,AM,Delay
12,12,0,AM,Delay
12,13,1,AM,Delay
12,14,1,AM,Delay
12,15,1,AM,Delay
12,16,0,AM,Delay
12,17,1,AM,Delay
12,18,1,AM,Delay
12,19,1,AM,Delay
12,20,1,AM,Delay
13,1,0,AM,Delay
13,2,0,AM,Delay
13,3,0,AM,Delay
13,4,0,AM,Delay
13,5,0,AM,Delay
13,6,0,AM,Delay
13,7,0,AM,Delay
13,8,1,AM,Delay
13,9,0,AM,Delay
13,10,1,AM,Delay
13,11,1,AM,Delay
13,12,0,AM,Delay
13,13,0,AM,Delay
13,14,1,AM,Delay
13,15,0,AM,Delay
13,16,1,AM,Delay
13,17,1,AM,Delay
13,18,0,AM,Delay
13,19,0,AM,Delay
13,20,0,AM,Delay
14,1,0,AM,Delay
14,2,0,AM,Delay
14,3,1,AM,Delay
14,4,0,AM,Delay
14,5,0,AM,Delay
14,6,0,AM,Delay
14,7,1,AM,Delay
14,8,0,AM,Delay
14,9,1,AM,Delay
14,10,0,AM,Delay
14,11,1,AM,Delay
14,12,1,AM,Delay
14,13,0,AM,Delay
14,14,1,AM,Delay
14,15,0,AM,Delay
14,16,0,AM,Delay
14,17,0,AM,Delay
14,18,1,AM,Delay
14,19,0,AM,Delay
14,20,0,AM,Delay
15,1,1,AM,Delay
15,2,1,AM,Delay
15,3,1,AM,Delay
15,4,0,AM,Delay
15,5,0,AM,Delay
15,6,0,AM,Delay
15,7,0,AM,Delay
15,8,1,AM,Delay
15,9,0,AM,Delay
15,10,0,AM,Delay
15,11,0,AM,Delay
15,12,0,AM,Delay
15,13,1,AM,Delay
15,14,0,AM,Delay
15,15,0,AM,Delay
15,16,0,AM,Delay
15,17,0,AM,Delay
15,18,1,AM,Delay
15,19,0,AM,Delay
15,20,1,AM,Delay
16,1,0,AM,Delay
16,2,0,AM,Delay
16,3,0,AM,Delay
16,4,1,AM,Delay
16,5,0,AM,Delay
16,6,0,AM,Delay
16,7,0,AM,Delay
16,8,0,AM,Delay
16,9,1,AM,Delay
16,10,1,AM,Delay
16,11,0,AM,Delay
16,12,0,AM,Delay
16,13,1,AM,Delay
16,14,1,AM,Delay
16,15,0,AM,Delay
16,16,0,AM,Delay
16,17,1,AM,Delay
16,18,1,AM,Delay
16,19,1,AM,Delay
16,20,1,AM,Delay
17,1,0,AM,Delay
17,2,0,AM,Delay
17,3,1,AM,Delay
17,4,1,AM,Delay
17,5,1,AM,Delay
17,6,1,AM,Delay
17,7,1,AM,Delay
17,8,0,AM,Delay
17,9,0,AM,Delay
17,10,1,AM,Delay
17,11,1,AM,Delay
17,12,1,AM,Delay
17,13,1,AM,Delay
17,14,0,AM,Delay
17,15,0,AM,Delay
17,16,0,AM,Delay
17,17,1,AM,Delay
17,18,1,AM,Delay
17,19,0,AM,Delay
17,20,1,AM,Delay
18,1,0,AM,Delay
18,2,1,AM,Delay
18,3,1,AM,Delay
18,4,0,AM,Delay
18,5,0,AM,Delay
18,6,0,AM,Delay
18,7,1,AM,Delay
18,8,1,AM,Delay
18,9,1,AM,Delay
18,10,1,AM,Delay
18,11,0,AM,Delay
18,12,0,AM,Delay
18,13,1,AM,Delay
18,14,0,AM,Delay
18,15,1,AM,Delay
18,16,1,AM,Delay
18,17,0,AM,Delay
18,18,0,AM,Delay
18,19,0,AM,Delay
18,20,0,AM,Delay
19,1,1,AM,Delay
19,2,1,AM,Delay
19,3,0,AM,Delay
19,4,1,AM,Delay
19,5,0,AM,Delay
19,6,0,AM,Delay
19,7,0,AM,Delay
19,8,0,AM,Delay
19,9,0,AM,Delay
19,10,1,AM,Delay
19,11,1,AM,Delay
19,12,0,AM,Delay
19,13,0,AM,Delay
19,14,1,AM,Delay
19,15,0,AM,Delay
19,16,1,AM,Delay
19,17,1,AM,Delay
19,18,1,AM,Delay
19,19,1,AM,Delay
19,20,1,AM,Delay
20,1,0,AM,Delay
20,2,1,AM,Delay
20,3,0,AM,Delay
20,4,1,AM,Delay
20,5,0,AM,Delay
20,6,1,AM,Delay
20,7,1,AM,Delay
20,8,0,AM,Delay
20,9,0,AM,Delay
20,10,1,AM,Delay
20,11,0,AM,Delay
20,12,0,AM,Delay
20,13,0,AM,Delay
20,14,1,AM,Delay
20,15,0,AM,Delay
20,16,1,AM,Delay
20,17,0,AM,Delay
20,18,0,AM,Delay
20,19,0,AM,Delay
20,20,1,AM,Delay
21,1,1,AM,Delay
21,2,1,AM,Delay
21,3,0,AM,Delay
21,4,0,AM,Delay
21,5,1,AM,Delay
21,6,0,AM,Delay
21,7,0,AM,Delay
21,8,1,AM,Delay
21,9,0,AM,Delay
21,10,0,AM,Delay
21,11,0,AM,Delay
21,12,0,AM,Delay
21,13,1,AM,Delay
21,14,0,AM,Delay
21,15,1,AM,Delay
21,16,1,AM,Delay
21,17,0,AM,Delay
21,18,0,AM,Delay
21,19,0,AM,Delay
21,20,1,AM,Delay
22,1,1,AM,Delay
22,2,1,AM,Delay
22,3,1,AM,Delay
22,4,1,AM,Delay
22,5,1,AM,Delay
22,6,0,AM,Delay
22,7,0,AM,Delay
22,8,0,AM,Delay
22,9,1,AM,Delay
22,10,1,AM,Delay
22,11,0,AM,Delay
22,12,0,AM,Delay
22,13,0,AM,Delay
22,14,0,AM,Delay
22,15,0,AM,Delay
22,16,1,AM,Delay
22,17,1,AM,Delay
22,18,1,AM,Delay
22,19,1,AM,Delay
22,20,0,AM,Delay
23,1,1,AM,Delay
23,2,1,AM,Delay
23,3,1,AM,Delay
23,4,0,AM,Delay
23,5,1,AM,Delay
23,6,1,AM,Delay
23,7,1,AM,Delay
23,8,1,AM,Delay
23,9,1,AM,Delay
23,10,1,AM,Delay
23,11,0,AM,Delay
23,12,0,AM,Delay
23,13,0,AM,Delay
23,14,0,AM,Delay
23,15,0,AM,Delay
23,16,1,AM,Delay
23,17,0,AM,Delay
23,18,0,AM,Delay
23,19,0,AM,Delay
23,20,0,AM,Delay
24,1,0,AM,Delay
24,2,0,AM,Delay
24,3,1,AM,Delay
24,4,1,AM,Delay
24,5,0,AM,Delay
24,6,0,AM,Delay
24,7,1,AM,Delay
24,8,0,AM,Delay
24,9,1,AM,Delay
24,10,1,AM,Delay
24,11,0,AM,Delay
24,12,0,AM,Delay
24,13,0,AM,Delay
24,14,0,AM,Delay
24,15,1,AM,Delay
24,16,0,AM,Delay
24,17,0,AM,Delay
24,18,0,AM,Delay
24,19,1,AM,Delay
24,20,0,AM,Delay
25,1,0,AM,Delay
25,2,1,AM,Delay
25,3,0,AM,Delay
25,4,0,AM,Delay
25,5,1,AM,Delay
25,6,1,AM,Delay
25,7,0,AM,Delay
25,8,1,AM,Delay
25,9,1,AM,Delay
25,10,0,AM,Delay
25,11,1,AM,Delay
25,12,0,AM,Delay
25,13,1,AM,Delay
25,14,0,AM,Delay
25,15,0,AM,Delay
25,16,1,AM,Delay
25,17,0,AM,Delay
25,18,1,AM,Delay
25,19,0,AM,Delay
25,20,1,AM,Delay
26,1,0,AM,Delay
26,2,0,AM,Delay
26,3,0,AM,Delay
26,4,0,AM,Delay
26,5,1,AM,Delay
26,6,1,AM,Delay
26,7,0,AM,Delay
26,8,1,AM,Delay
26,9,0,AM,Delay
26,10,0,AM,Delay
26,11,0,AM,Delay
26,12,0,AM,Delay
26,13,0,AM,Delay
26,14,0,AM,Delay
26,15,0,AM,Delay
26,16,1,AM,Delay
26,17,0,AM,Delay
26,18,0,AM,Delay
26,19,0,AM,Delay
26,20,0,AM,Delay
27,1,1,AM,Delay
27,2,0,AM,Delay
27,3,1,AM,Delay
27,4,0,AM,Delay
27,5,0,AM,Delay
27,6,1,AM,Delay
27,7,1,AM,Delay
27,8,1,AM,Delay
27,9,0,AM,Delay
27,10,0,AM,Delay
27,11,1,AM,Delay
27,12,1,AM,Delay
27,13,1,AM,Delay
27,14,1,AM,Delay
27,15,0,AM,Delay
27,16,1,AM,Delay
27,17,0,AM,Delay
27,18,0,AM,Delay
27,19,1,AM,Delay
27,20,0,AM,Delay
28,1,1,AM,Delay
28,2,0,AM,Delay
28,3,1,AM,Delay
28,4,0,AM,Delay
28,5,0,AM,Delay
28,6,0,AM,Delay
28,7,1,AM,Delay
28,8,0,AM,Delay
28,9,0,AM,Delay
28,10,0,AM,Delay
28,11,0,AM,Delay
28,12,1,AM,Delay
28,13,0,AM,Delay
28,14,1,AM,Delay
28,15,1,AM,Delay
28,16,1,AM,Delay
28,17,1,AM,Delay
28,18,0,AM,Delay
28,19,1,AM,Delay
28,20,0,AM,Delay
29,1,1,AM,Delay
29,2,1,AM,Delay
29,3,0,AM,Delay
29,4,1,AM,Delay
29,5,0,AM,Delay
29,6,1,AM,Delay
29,7,0,AM,Delay
29,8,1,AM,Delay
29,9,0,AM,Delay
29,10,0,AM,Delay
29,11,0,AM,Delay
29,12,0,AM,Delay
29,13,0,AM,Delay
29,14,1,AM,Delay
29,15,0,AM,Delay
29,16,1,AM,Delay
29,17,0,AM,Delay
29,18,0,AM,Delay
29,19,1,AM,Delay
29,20,1,AM,Delay
30,1,0,AM,Delay
30,2,1,AM,Delay
30,3,0,AM,Delay
30,4,1,AM,Delay
30,5,1,AM,Delay
30,6,1,AM,Delay
30,7,1,AM,Delay
30,8,0,AM,Delay
30,9,0,AM,Delay
30,10,1,AM,Delay
30,11,0,AM,Delay
30,12,1,AM,Delay
30,13,1,AM,Delay
30,14,0,AM,Delay
30,15,0,AM,Delay
30,16,0,AM,Delay
30,17,0,AM,Delay
30,18,0,AM,Delay
30,19,1,AM,Delay
30,20,1,AM,Delay
31,1,1,AM,Delay
31,2,1,AM,Delay
31,3,0,AM,Delay
31,4,0,AM,Delay
31,5,1,AM,Delay
31,6,1,AM,Delay
31,7,0,AM,Delay
31,8,1,AM,Delay
31,9,0,AM,Delay
31,10,1,AM,Delay
31,11,0,AM,Delay
31,12,1,AM,Delay
31,13,0,AM,Delay
31,14,1,AM,Delay
31,15,0,AM,Delay
31,16,1,AM,Delay
31,17,1,AM,Delay
31,18,0,AM,Delay
31,19,1,AM,Delay
31,20,0,AM,Delay
32,1,1,AM,Delay
32,2,1,AM,Delay
32,3,0,AM,Delay
32,4,1,AM,Delay
32,5,1,AM,Delay
32,6,1,AM,Delay
32,7,1,AM,Delay
32,8,0,AM,Delay
32,9,0,AM,Delay
32,10,1,AM,Delay
32,11,0,AM,Delay
32,12,1,AM,Delay
32,13,1,AM,Delay
32,14,1,AM,Delay
32,15,1,AM,Delay
32,16,0,AM,Delay
32,17,1,AM,Delay
32,18,1,AM,Delay
32,19,0,AM,Delay
32,20,1,AM,Delay
33,1,0,AM,Delay
33,2,0,AM,Delay
33,3,1,AM,Delay
33,4,1,AM,Delay
33,5,1,AM,Delay
33,6,1,AM,Delay
33,7,1,AM,Delay
33,8,0,AM,Delay
33,9,1,AM,Delay
33,10,1,AM,Delay
33,11,0,AM,Delay
33,12,0,AM,Delay
33,13,0,AM,Delay
33,14,0,AM,Delay
33,15,0,AM,Delay
33,16,0,AM,Delay
33,17,0,AM,Delay
33,18,1,AM,Delay
33,19,0,AM,Delay
33,20,0,AM,Delay
34,1,0,AM,Delay
34,2,0,AM,Delay
34,3,0,AM,Delay
34,4,0,AM,Delay
34,5,0,AM,Delay
34,6,0,AM,Delay
34,7,0,AM,Delay
34,8,1,AM,Delay
34,9,1,AM,Delay
34,10,1,AM,Delay
34,11,0,AM,Delay
34,12,0,AM,Delay
34,13,0,AM,Delay
34,14,0,AM,Delay
34,15,0,AM,Delay
34,16,1,AM,Delay
34,17,1,AM,Delay
34,18,1,AM,Delay
34,19,1,AM,Delay
34,20,0,AM,Delay
35,1,1,AM,Delay
35,2,0,AM,Delay
35,3,0,AM,Delay
35,4,0,AM,Delay
35,5,0,AM,Delay
35,6,0,AM,Delay
35,7,1,AM,Delay
35,8,0,AM,Delay
35,9,0,AM,Delay
35,10,0,AM,Delay
35,11,0,AM,Delay
35,12,1,AM,Delay
35,13,1,AM,Delay
35,14,1,AM,Delay
35,15,0,AM,Delay
35,16,1,AM,Delay
35,17,0,AM,Delay
35,18,1,AM,Delay
35,19,0,AM,Delay
35,20,1,AM,Delay
36,1,0,AM,Delay
36,2,0,AM,Delay
36,3,0,AM,Delay
36,4,1,AM,Delay
36,5,0,AM,Delay
36,6,1,AM,Delay
36,7,0,AM,Delay
36,8,1,AM,Delay
36,9,1,AM,Delay
36,10,0,AM,Delay
36,11,0,AM,Delay
36,12,1,AM,Delay
36,13,1,AM,Delay
36,14,1,AM,Delay
36,15,0,AM,Delay
36,16,0,AM,Delay
36,17,0,AM,Delay
36,18,0,AM,Delay
36,19,1,AM,Delay
36,20,0,AM,Delay
37,1,1,AM,Delay
37,2,0,AM,Delay
37,3,0,AM,Delay
37,4,0,AM,Delay
37,5,0,AM,Delay
37,6,1,AM,Delay
37,7,0,AM,Delay
37,8,1,AM,Delay
37,9,0,AM,Delay
37,10,0,AM,Delay
37,11,0,AM,Delay
37,12,0,AM,Delay
37,13,0,AM,Delay
37,14,0,AM,Delay
37,15,0,AM,Delay
37,16,0,AM,Delay
37,17,1,AM,Delay
37,18,0,AM,Delay
37,19,1,AM,Delay
37,20,1,AM,Delay
38,1,1,AM,Delay
38,2,1,AM,Delay
38,3,1,AM,Delay
38,4,0,AM,Delay
38,5,0,AM,Delay
38,6,1,AM,Delay
38,7,0,AM,Delay
38,8,0,AM,Delay
38,9,0,AM,Delay
38,10,1,AM,Delay
38,11,1,AM,Delay
38,12,0,AM,Delay
38,13,0,AM,Delay
38,14,0,AM,Delay
38,15,1,AM,Delay
38,16,1,AM,Delay
38,17,1,AM,Delay
38,18,0,AM,Delay
38,19,0,AM,Delay
38,20,0,AM,Delay
39,1,0,AM,Delay
39,2,0,AM,Delay
39,3,0,AM,Delay
39,4,0,AM,Delay
39,5,0,AM,Delay
39,6,0,AM,Delay
39,7,0,AM,Delay
39,8,1,AM,Delay
39,9,0,AM,Delay
39,10,0,AM,Delay
39,11,0,AM,Delay
39,12,0,AM,Delay
39,13,0,AM,Delay
39,14,0,AM,Delay
39,15,0,AM,Delay
39,16,1,AM,Delay
39,17,0,AM,Delay
39,18,0,AM,Delay
39,19,0,AM,Delay
39,20,0,AM,Delay
40,1,1,AM,Delay
40,2,0,AM,Delay
40,3,1,AM,Delay
40,4,0,AM,Delay
40,5,1,AM,Delay
40,6,0,AM,Delay
40,7,1,AM,Delay
40,8,1,AM,Delay
40,9,1,AM,Delay
40,10,1,AM,Delay
40,11,0,AM,Delay
40,12,0,AM,Delay
40,13,0,AM,Delay
40,14,0,AM,Delay
40,15,1,AM,Delay
40,16,1,AM,Delay
40,17,1,AM,Delay
40,18,0,AM,Delay
40,19,1,AM,Delay
40,20,0,AM,Delay
41,1,1,AM,Delay
41,2,0,AM,Delay
41,3,0,AM,Delay
41,4,1,AM,Delay
41,5,0,AM,Delay
41,6,0,AM,Delay
41,7,0,AM,Delay
41,8,0,AM,Delay
41,9,0,AM,Delay
41,10,1,AM,Delay
41,11,0,AM,Delay
41,12,1,AM,Delay
41,13,1,AM,Delay
41,14,1,AM,Delay
41,15,0,AM,Delay
41,16,1,AM,Delay
41,17,1,AM,Delay
41,18,1,AM,Delay
41,19,0,AM,Delay
41,20,0,AM,Delay
42,1,0,AM,Delay
42,2,0,AM,Delay
42,3,0,AM,Delay
42,4,1,AM,Delay
42,5,0,AM,Delay
42,6,1,AM,Delay
42,7,0,AM,Delay
42,8,1,AM,Delay
42,9,0,AM,Delay
42,10,1,AM,Delay
42,11,0,AM,Delay
42,12,0,AM,Delay
42,13,0,AM,Delay
42,14,0,AM,Delay
42,15,0,AM,Delay
42,16,1,AM,Delay
42,17,0,AM,Delay
42,18,0,AM,Delay
42,19,0,AM,Delay
42,20,0,AM,Delay
43,1,0,AM,Delay
43,2,0,AM,Delay
43,3,0,AM,Delay
43,4,0,AM,Delay
43,5,0,AM,Delay
43,6,1,AM,Delay
43,7,1,AM,Delay
43,8,1,AM,Delay
43,9,0,AM,Delay
43,10,0,AM,Delay
43,11,0,AM,Delay
43,12,0,AM,Delay
43,13,0,AM,Delay
43,14,1,AM,Delay
43,15,1,AM,Delay
43,16,1,AM,Delay
43,17,0,AM,Delay
43,18,0,AM,Delay
43,19,1,AM,Delay
43,20,0,AM,Delay
44,1,0,AM,Delay
44,2,1,AM,Delay
44,3,1,AM,Delay
44,4,0,AM,Delay
44,5,1,AM,Delay
44,6,0,AM,Delay
44,7,1,AM,Delay
44,8,1,AM,Delay
44,9,0,AM,Delay
44,10,1,AM,Delay
44,11,0,AM,Delay
44,12,1,AM,Delay
44,13,1,AM,Delay
44,14,0,AM,Delay
44,15,1,AM,Delay
44,16,1,AM,Delay
44,17,0,AM,Delay
44,18,1,AM,Delay
44,19,0,AM,Delay
44,20,0,AM,Delay
45,1,1,AM,Delay
45,2,1,AM,Delay
45,3,1,AM,Delay
45,4,1,AM,Delay
45,5,0,AM,Delay
45,6,1,AM,Delay
45,7,1,AM,Delay
45,8,0,AM,Delay
45,9,1,AM,Delay
45,10,1,AM,Delay
45,11,0,AM,Delay
45,12,0,AM,Delay
45,13,1,AM,Delay
45,14,1,AM,Delay
45,15,1,AM,Delay
45,16,0,AM,Delay
45,17,1,AM,Delay
45,18,1,AM,Delay
45,19,1,AM,Delay
45,20,1,AM,Delay
46,1,1,AM,Delay
46,2,1,AM,Delay
46,3,0,AM,Delay
46,4,0,AM,Delay
46,5,0,AM,Delay
46,6,1,AM,Delay
46,7,1,AM,Delay
46,8,1,AM,Delay
46,9,0,AM,Delay
46,10,1,AM,Delay
46,11,0,AM,Delay
46,12,1,AM,Delay
46,13,0,AM,Delay
46,14,0,AM,Delay
46,15,1,AM,Delay
46,16,0,AM,Delay
46,17,0,AM,Delay
46,18,0,AM,Delay
46,19,1,AM,Delay
46,20,0,AM,Delay
47,1,1,AM,Delay
47,2,1,AM,Delay
47,3,1,AM,Delay
47,4,0,AM,Delay
47,5,0,AM,Delay
47,6,1,AM,Delay
47,7,0,AM,Delay
47,8,1,AM,Delay
47,9,1,AM,Delay
47,10,0,AM,Delay
47,11,0,AM,Delay
47,12,1,AM,Delay
47,13,0,AM,Delay
47,14,0,AM,Delay
47,15,0,AM,Delay
47,16,1,AM,Delay
47,17,0,AM,Delay
47,18,1,AM,Delay
47,19,1,AM,Delay
47,20,0,AM,Delay
48,1,0,AM,Delay
48,2,1,AM,Delay
48,3,0,AM,Delay
48,4,0,AM,Delay
48,5,1,AM,Delay
48,6,0,AM,Delay
48,7,1,AM,Delay
48,8,0,AM,Delay
48,9,0,AM,Delay
48,10,0,AM,Delay
48,11,0,AM,Delay
48,12,0,AM,Delay
48,13,0,AM,Delay
48,14,1,AM,Delay
48,15,1,AM,Delay
48,16,0,AM,Delay
48,17,0,AM,Delay
48,18,0,AM,Delay
48,19,0,AM,Delay
48,20,0,AM,Delay
49,1,0,AM,Delay
49,2,0,AM,Delay
49,3,0,AM,Delay
49,4,0,AM,Delay
49,5,0,AM,Delay
49,6,1,AM,Delay
49,7,0,AM,Delay
49,8,0,AM,Delay
49,9,0,AM,Delay
49,10,1,AM,Delay
49,11,0,AM,Delay
49,12,0,AM,Delay
49,13,1,AM,Delay
49,14,1,AM,Delay
49,15,0,AM,Delay
49,16,0,AM,Delay
49,17,0,AM,Delay
49,18,0,AM,Delay
49,19,0,AM,Delay
49,20,1,AM,Delay
50,1,0,AM,Delay
50,2,0,AM,Delay
50,3,0,AM,Delay
50,4,0,AM,Delay
50,5,1,AM,Delay
50,6,1,AM,Delay
50,7,0,AM,Delay
50,8,0,AM,Delay
50,9,0,AM,Delay
50,10,1,AM,Delay
50,11,0,AM,Delay
50,12,0,AM,Delay
50,13,1,AM,Delay
50,14,0,AM,Delay
50,15,1,AM,Delay
50,16,1,AM,Delay
50,17,0,AM,Delay
50,18,0,AM,Delay
50,19,1,AM,Delay
50,20,1,AM,Delay
51,1,1,AM,Delay
51,2,1,AM,Delay
51,3,0,AM,Delay
51,4,0,AM,Delay
51,5,1,AM,Delay
51,6,1,AM,Delay
51,7,1,AM,Delay
51,8,0,AM,Delay
51,9,0,AM,Delay
51,10,0,AM,Delay
51,11,0,AM,Delay
51,12,1,AM,Delay
51,13,1,AM,Delay
51,14,0,AM,Delay
51,15,1,AM,Delay
51,16,0,AM,Delay
51,17,1,AM,Delay
51,18,0,AM,Delay
51,19,1,AM,Delay
51,20,1,AM,Delay
52,1,1,AM,Delay
52,2,0,AM,Delay
52,3,1,AM,Delay
52,4,1,AM,Delay
52,5,1,AM,Delay
52,6,1,AM,Delay
52,7,0,AM,Delay
52,8,1,AM,Delay
52,9,0,AM,Delay
52,10,1,AM,Delay
52,11,1,AM,Delay
52,12,1,AM,Delay
52,13,0,AM,Delay
52,14,0,AM,Delay
52,15,1,AM,Delay
52,16,1,AM,Delay
52,17,0,AM,Delay
52,18,0,AM,Delay
52,19,0,AM,Delay
52,20,0,AM,Delay
53,1,1,AM,Delay
53,2,0,AM,Delay
53,3,0,AM,Delay
53,4,0,AM,Delay
53,5,1,AM,Delay
53,6,0,AM,Delay
53,7,1,AM,Delay
53,8,1,AM,Delay
53,9,1,AM,Delay
53,10,1,AM,Delay
53,11,1,AM,Delay
53,12,0,AM,Delay
53,13,0,AM,Delay
53,14,0,AM,Delay
53,15,1,AM,Delay
53,16,0,AM,Delay
53,17,1,AM,Delay
53,18,0,AM,Delay
53,19,1,AM,Delay
53,20,0,AM,Delay
54,1,0,AM,Delay
54,2,1,AM,Delay
54,3,0,AM,Delay
54,4,0,AM,Delay
54,5,1,AM,Delay
54,6,1,AM,Delay
54,7,1,AM,Delay
54,8,1,AM,Delay
54,9,0,AM,Delay
54,10,0,AM,Delay
54,11,0,AM,Delay
54,12,1,AM,Delay
54,13,0,AM,Delay
54,14,1,AM,Delay
